COD_DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO
86,573,PUERTO LEGUÍZAMO
86,749,SIBUNDOY
86,755,SAN FRANCISCO
86,757,SAN MIGUEL
86,760,SANTIAGO
86,865,VALLE DEL GUAMUEZ
86,885,VILLAGARZÓN
88,1,SAN ANDRÉS
88,564,PROVIDENCIA
91,1,LETICIA
91,65,ARARACUARA
91,263,EL ENCANTO
91,405,LA CHORRERA
91,407,LA PEDRERA
91,430,LA VICTORIA
91,460,MIRITÍ - PARANÁ
91,530,PUERTO ALEGRÍA
91,536,PUERTO ARICA
91,540,PUERTO NARIÑO
91,669,PUERTO SANTANDER
91,798,TARAPACÁ
94,1,INÍRIDA
94,343,BARRANCOMINAS
94,883,SAN FELIPE
94,884,PUERTO COLOMBIA
94,885,LA GUADALUPE
94,886,CACAHUAL
94,887,PANA PANA
94,888,MORICHAL
95,1,SAN JOSÉ DEL GUAVIARE
95,15,CALAMAR
95,25,EL RETORNO
95,200,MIRAFLORES
97,1,MITÚ
97,161,CARURÚ
97,478,MORICHAL
97,511,PACOA
97,555,VILLA FATIMA
97,666,TARAIRA
97,777,PAPUNAUA
97,889,YAVARATÉ
99,1,PUERTO CARREÑO
99,38,AMANAVEN
99,160,CASUARITO
99,496,NUEVA ANTIOQUIA
99,524,LA PRIMAVERA
99,569,PUERTO MURILLO
99,572,PUERTO NARINO
99,624,SANTA ROSALÍA
99,760,SAN JOSE DEL OCUNE
99,773,CUMARIBO
9999,999,EXTRANJEROS
